GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,0.0,0.0,-0.0,0.0,0.0,0.0,-42.21,-33.44,-0.0,0.0,30.44,-46.88,79.92,-75.65,63.48,-12.17
52,0.0,-0.0,0.0,-0.0,-0.0,0.0,-53.33,-28.45,-0.0,-0.0,29.78,-48.78,80.47,-81.78,61.47,-20.32
103,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-40.54,-27.98,0.0,-0.0,25.59,-49.24,83.62,-68.52,59.97,-8.56
154,-0.0,0.0,0.0,-0.0,0.0,0.0,-49.98,-38.33,0.0,-0.0,34.62,-48.17,79.54,-88.31,65.99,-22.32
205,0.0,-0.0,-0.0,0.0,0.0,0.0,-47.66,-12.31,-0.0,-0.0,14.46,-45.91,80.98,-59.97,49.54,-10.43
256,-0.0,0.0,0.0,0.0,-0.0,-0.0,-44.4,-5.87,-0.0,-0.0,12.09,-48.2,82.48,-50.27,46.36,-3.9
307,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-44.36,-14.47,0.0,0.0,15.97,-48.5,81.78,-58.84,49.25,-9.58
358,0.0,0.0,0.0,-0.0,-0.0,0.0,-44.41,-28.77,0.0,0.0,28.93,-45.59,77.7,-73.18,61.04,-12.14
409,0.0,-0.0,-0.0,-0.0,0.0,0.0,-49.14,-23.86,-0.0,0.0,26.63,-46.01,79.2,-73.0,59.81,-13.19
460,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-44.32,-26.26,0.0,-0.0,25.64,-47.05,80.74,-70.59,59.33,-11.26
511,0.0,-0.0,0.0,-0.0,0.0,-0.0,-52.61,-11.35,-0.0,0.0,17.21,-48.63,83.57,-63.95,52.15,-11.81
562,-0.0,0.0,0.0,0.0,-0.0,0.0,-44.86,-23.15,0.0,-0.0,22.51,-48.61,80.34,-68.0,54.24,-13.77
613,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-39.2,-36.22,0.0,0.0,34.64,-47.35,80.5,-75.42,67.78,-7.63
664,-0.0,0.0,0.0,0.0,0.0,-0.0,-40.48,-28.28,0.0,0.0,26.33,-45.14,77.28,-68.76,58.47,-10.28
715,-0.0,-0.0,-0.0,0.0,0.0,0.0,-40.24,-23.47,0.0,0.0,21.63,-47.75,78.38,-63.7,52.26,-11.45
766,0.0,0.0,0.0,0.0,0.0,0.0,-39.44,-40.55,-0.0,0.0,36.58,-46.66,79.07,-79.99,68.99,-11.0
817,0.0,0.0,-0.0,-0.0,-0.0,0.0,-45.93,-18.86,0.0,-0.0,18.43,-44.91,77.09,-64.79,50.61,-14.18
868,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-38.15,-29.72,-0.0,0.0,25.64,-48.83,81.94,-67.87,58.74,-9.13
919,0.0,-0.0,0.0,0.0,-0.0,0.0,-45.06,-22.27,0.0,-0.0,24.61,-44.35,77.25,-67.33,57.5,-9.83
970,-0.0,-0.0,0.0,0.0,0.0,-0.0,-43.06,-23.62,-0.0,-0.0,23.37,-46.32,77.83,-66.68,54.88,-11.8
1021,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-49.45,-15.25,0.0,0.0,16.52,-50.7,83.53,-64.7,49.36,-15.34
1072,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-56.39,-17.3,-0.0,-0.0,18.73,-49.7,85.16,-73.68,54.18,-19.5
1123,0.0,0.0,0.0,0.0,-0.0,0.0,-35.77,-29.65,-0.0,-0.0,25.9,-45.19,76.83,-65.42,57.54,-7.88
1174,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-38.03,-26.82,0.0,-0.0,25.14,-45.68,79.0,-64.85,58.46,-6.4
1225,0.0,-0.0,-0.0,0.0,0.0,-0.0,-34.34,-32.44,0.0,-0.0,29.74,-47.02,78.2,-66.79,60.92,-5.87
1276,0.0,-0.0,-0.0,0.0,-0.0,0.0,-48.95,-21.98,-0.0,0.0,24.86,-47.25,76.31,-70.94,53.92,-17.02
1327,-0.0,0.0,-0.0,0.0,0.0,-0.0,-43.43,-27.66,0.0,0.0,24.53,-46.24,77.27,-71.09,55.56,-15.52
1378,-0.0,0.0,0.0,-0.0,0.0,0.0,-41.44,-23.5,-0.0,0.0,23.12,-50.48,82.37,-64.94,55.0,-9.93
1429,0.0,-0.0,0.0,-0.0,0.0,0.0,-44.28,-23.51,0.0,0.0,26.8,-45.09,80.43,-67.79,62.14,-5.65
1480,0.0,0.0,0.0,-0.0,0.0,-0.0,-47.8,-23.3,0.0,0.0,25.28,-46.13,79.89,-71.1,59.03,-12.07
1531,0.0,0.0,0.0,0.0,-0.0,-0.0,-40.41,-32.43,0.0,0.0,29.44,-46.8,78.81,-72.84,61.45,-11.39
1582,0.0,-0.0,-0.0,0.0,-0.0,0.0,-53.09,-34.93,0.0,0.0,34.46,-48.15,81.03,-88.03,67.33,-20.69
1633,0.0,0.0,-0.0,0.0,0.0,0.0,-38.39,-23.39,0.0,0.0,23.19,-46.57,78.39,-61.78,55.01,-6.77
